,object_id,creation_time,creation_source,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,invited_by_user_id,adopted,creation_year,creation_month,creation_week,creation_day,invited_by_user
49,50,2012-06-03 11:02:08,GUEST_INVITE,0,0,61,50.0,1,2012,6,22,3,1
50,51,2013-08-22 09:53:43,ORG_INVITE,0,1,0,9093.0,0,2013,8,34,22,1
51,52,2014-04-07 22:53:31,PERSONAL_PROJECTS,0,0,0,0.0,0,2014,4,15,7,0
52,53,2013-02-09 23:47:15,GUEST_INVITE,0,0,37,3641.0,1,2013,2,6,9,1
53,54,2013-03-17 12:31:27,GUEST_INVITE,1,1,51,3876.0,0,2013,3,11,17,1
54,55,2012-07-18 23:00:26,SIGNUP_GOOGLE_AUTH,0,0,229,0.0,0,2012,7,29,18,0
55,56,2013-12-01 08:50:02,GUEST_INVITE,0,0,229,55.0,0,2013,12,48,1,1
56,57,2013-11-18 17:48:04,GUEST_INVITE,0,0,88,2436.0,0,2013,11,47,18,1
57,58,2013-01-28 17:44:26,ORG_INVITE,1,0,304,6447.0,0,2013,1,5,28,1
58,59,2014-03-07 03:21:57,SIGNUP_GOOGLE_AUTH,0,0,325,0.0,0,2014,3,10,7,0
59,60,2014-03-21 22:56:03,ORG_INVITE,0,0,88,3463.0,1,2014,3,12,21,1
60,61,2014-05-14 03:45:47,SIGNUP_GOOGLE_AUTH,0,0,150,0.0,0,2014,5,20,14,0
61,62,2013-07-09 14:08:31,SIGNUP,0,0,347,0.0,0,2013,7,28,9,0
62,63,2012-12-20 16:30:52,SIGNUP_GOOGLE_AUTH,0,0,203,0.0,1,2012,12,51,20,0
63,64,2014-03-13 22:02:50,SIGNUP,0,0,21,0.0,0,2014,3,11,13,0
64,65,2013-08-27 00:38:29,SIGNUP_GOOGLE_AUTH,0,0,409,0.0,0,2013,8,35,27,0
65,66,2014-02-03 14:50:52,ORG_INVITE,0,0,215,11389.0,0,2014,2,6,3,1
66,67,2014-04-23 10:52:20,ORG_INVITE,0,0,141,763.0,0,2014,4,17,23,1
67,68,2014-01-22 08:24:31,SIGNUP_GOOGLE_AUTH,1,0,5,0.0,0,2014,1,4,22,0
68,69,2012-06-29 10:15:18,GUEST_INVITE,0,0,107,5022.0,1,2012,6,26,29,1
69,70,2014-05-30 04:43:46,GUEST_INVITE,0,0,184,10152.0,0,2014,5,22,30,1
70,71,2013-12-01 20:13:21,PERSONAL_PROJECTS,0,0,310,0.0,0,2013,12,48,1,0
71,72,2013-08-21 11:56:14,SIGNUP,0,0,367,0.0,0,2013,8,34,21,0
72,73,2013-04-16 17:32:43,ORG_INVITE,0,0,389,6169.0,0,2013,4,16,16,1
73,74,2013-01-14 00:02:41,SIGNUP_GOOGLE_AUTH,0,0,89,0.0,1,2013,1,3,14,0
74,75,2014-01-25 01:05:21,SIGNUP,0,0,242,0.0,0,2014,1,4,25,0
75,76,2014-05-17 16:58:45,SIGNUP,1,1,51,0.0,0,2014,5,20,17,0
76,77,2012-12-20 16:31:21,SIGNUP,1,1,68,0.0,0,2012,12,51,20,0
77,78,2012-06-28 17:36:39,PERSONAL_PROJECTS,1,0,16,0.0,0,2012,6,26,28,0
78,79,2013-05-29 20:17:43,GUEST_INVITE,0,0,401,9912.0,0,2013,5,22,29,1
79,80,2014-02-28 21:30:38,ORG_INVITE,1,1,49,238.0,1,2014,2,9,28,1
80,81,2013-06-26 03:57:41,PERSONAL_PROJECTS,1,0,185,0.0,1,2013,6,26,26,0
81,82,2013-02-12 02:10:40,GUEST_INVITE,0,0,91,3732.0,1,2013,2,7,12,1
82,83,2013-01-26 09:44:23,ORG_INVITE,1,0,172,9016.0,0,2013,1,4,26,1
83,84,2014-01-28 04:48:29,ORG_INVITE,0,0,8,2050.0,0,2014,1,5,28,1
84,85,2013-08-16 18:00:53,ORG_INVITE,1,1,43,10481.0,0,2013,8,33,16,1
85,86,2012-11-11 02:50:15,ORG_INVITE,0,0,249,9312.0,0,2012,11,45,11,1
86,87,2013-09-11 22:53:29,SIGNUP,1,0,26,0.0,1,2013,9,37,11,0
87,88,2012-08-16 10:42:26,SIGNUP,0,0,139,0.0,0,2012,8,33,16,0
88,89,2012-08-07 22:12:00,SIGNUP,0,0,70,0.0,0,2012,8,32,7,0
89,90,2013-08-07 00:33:23,ORG_INVITE,0,0,10,5961.0,0,2013,8,32,7,1
90,91,2013-03-19 17:20:36,SIGNUP,0,0,252,0.0,0,2013,3,12,19,0
91,92,2013-02-24 20:33:23,SIGNUP_GOOGLE_AUTH,0,0,91,0.0,0,2013,2,8,24,0
92,93,2012-09-10 08:07:18,ORG_INVITE,0,0,53,2126.0,0,2012,9,37,10,1
93,94,2013-06-04 13:58:03,SIGNUP,0,0,69,0.0,0,2013,6,23,4,0
94,95,2014-03-09 06:30:04,PERSONAL_PROJECTS,0,0,119,0.0,0,2014,3,10,9,0
95,96,2014-03-12 00:33:22,ORG_INVITE,0,0,130,451.0,0,2014,3,11,12,1
96,97,2013-10-02 20:29:41,SIGNUP_GOOGLE_AUTH,0,0,3,0.0,0,2013,10,40,2,0
97,98,2014-05-13 15:52:03,ORG_INVITE,0,0,196,6529.0,0,2014,5,20,13,1
98,99,2012-09-26 23:27:02,ORG_INVITE,0,1,335,1261.0,0,2012,9,39,26,1
99,100,2013-06-14 08:41:36,ORG_INVITE,0,0,375,8357.0,0,2013,6,24,14,1
100,101,2013-08-15 22:38:05,GUEST_INVITE,0,0,303,5141.0,0,2013,8,33,15,1
101,102,2013-03-29 03:30:44,PERSONAL_PROJECTS,0,0,307,0.0,0,2013,3,13,29,0
102,103,2012-12-02 10:44:08,GUEST_INVITE,1,1,25,4144.0,0,2012,12,48,2,1
103,104,2014-05-09 21:38:17,PERSONAL_PROJECTS,0,1,370,0.0,0,2014,5,19,9,0
104,105,2012-11-23 14:35:19,ORG_INVITE,1,1,134,4189.0,0,2012,11,47,23,1
105,106,2012-09-22 06:34:37,PERSONAL_PROJECTS,0,0,83,0.0,0,2012,9,38,22,0
106,107,2013-09-20 05:39:25,SIGNUP,0,0,27,0.0,0,2013,9,38,20,0
107,108,2013-04-16 20:10:27,GUEST_INVITE,1,0,306,3522.0,0,2013,4,16,16,1
108,109,2012-08-28 05:18:22,SIGNUP,1,0,118,0.0,0,2012,8,35,28,0
109,110,2013-11-01 14:02:47,ORG_INVITE,0,0,295,6954.0,0,2013,11,44,1,1
110,111,2013-08-31 02:56:48,SIGNUP,0,0,19,0.0,0,2013,8,35,31,0
111,112,2012-12-09 08:21:30,ORG_INVITE,0,0,301,3261.0,0,2012,12,49,9,1
112,113,2014-04-24 19:07:55,SIGNUP,0,0,100,0.0,0,2014,4,17,24,0
113,114,2014-05-30 14:33:37,GUEST_INVITE,0,0,112,10054.0,0,2014,5,22,30,1
114,115,2014-05-27 21:26:58,GUEST_INVITE,0,0,263,3096.0,0,2014,5,22,27,1
115,116,2012-09-04 01:40:16,ORG_INVITE,0,0,0,8212.0,0,2012,9,36,4,1
116,117,2013-08-04 05:52:15,GUEST_INVITE,0,0,39,9230.0,0,2013,8,31,4,1
117,118,2014-01-04 11:50:42,GUEST_INVITE,1,1,12,6799.0,0,2014,1,1,4,1
118,119,2012-09-24 01:04:25,SIGNUP,0,0,184,0.0,0,2012,9,39,24,0
119,120,2013-03-11 07:52:10,GUEST_INVITE,1,0,86,9709.0,0,2013,3,11,11,1
120,121,2013-01-03 23:57:39,GUEST_INVITE,1,0,402,121.0,0,2013,1,1,3,1
121,122,2013-03-18 07:10:14,GUEST_INVITE,0,0,42,8068.0,0,2013,3,12,18,1
122,123,2014-03-15 16:49:14,SIGNUP,0,0,103,0.0,0,2014,3,11,15,0
123,124,2013-05-01 00:23:57,PERSONAL_PROJECTS,0,0,373,0.0,0,2013,5,18,1,0
124,125,2013-05-26 20:51:51,ORG_INVITE,0,0,268,8740.0,0,2013,5,21,26,1
125,126,2013-08-09 12:00:02,ORG_INVITE,1,1,112,5348.0,0,2013,8,32,9,1
126,127,2013-03-11 22:07:19,SIGNUP,0,0,30,0.0,0,2013,3,11,11,0
127,128,2014-04-10 06:36:43,SIGNUP,0,1,53,0.0,0,2014,4,15,10,0
128,129,2013-01-21 01:04:45,PERSONAL_PROJECTS,0,0,193,0.0,0,2013,1,4,21,0
129,130,2012-07-03 14:09:15,PERSONAL_PROJECTS,0,0,406,0.0,0,2012,7,27,3,0
130,131,2013-02-07 02:31:15,PERSONAL_PROJECTS,0,0,48,0.0,0,2013,2,6,7,0
131,132,2013-08-15 12:51:38,GUEST_INVITE,0,0,263,3096.0,0,2013,8,33,15,1
132,133,2013-09-12 12:39:43,SIGNUP,0,0,249,0.0,1,2013,9,37,12,0
133,134,2013-05-29 09:48:15,PERSONAL_PROJECTS,0,0,4,0.0,0,2013,5,22,29,0
134,135,2014-01-23 02:23:23,ORG_INVITE,0,0,313,6271.0,1,2014,1,4,23,1
135,136,2014-04-02 18:50:13,SIGNUP_GOOGLE_AUTH,1,0,92,0.0,0,2014,4,14,2,0
136,137,2012-11-15 23:07:41,PERSONAL_PROJECTS,0,0,9,0.0,0,2012,11,46,15,0
137,138,2013-07-04 20:12:30,SIGNUP_GOOGLE_AUTH,0,0,138,0.0,0,2013,7,27,4,0
138,139,2014-03-29 19:43:30,ORG_INVITE,0,0,261,8610.0,0,2014,3,13,29,1
139,140,2013-06-03 19:47:59,GUEST_INVITE,0,1,35,11466.0,0,2013,6,23,3,1
140,141,2013-09-18 20:17:54,ORG_INVITE,0,0,264,10977.0,1,2013,9,38,18,1
141,142,2014-03-03 00:48:56,PERSONAL_PROJECTS,0,0,95,0.0,0,2014,3,10,3,0
142,143,2012-06-30 22:56:57,GUEST_INVITE,0,0,325,7801.0,0,2012,6,26,30,1
143,144,2013-02-16 11:33:35,SIGNUP,1,0,55,0.0,0,2013,2,7,16,0
144,145,2013-07-25 11:55:00,GUEST_INVITE,1,0,254,604.0,0,2013,7,30,25,1
145,146,2013-03-13 13:52:18,ORG_INVITE,0,0,60,2354.0,1,2013,3,11,13,1
146,147,2012-09-13 01:47:21,ORG_INVITE,0,0,1,10368.0,0,2012,9,37,13,1
147,148,2014-03-29 12:51:11,PERSONAL_PROJECTS,0,0,2,0.0,0,2014,3,13,29,0
148,149,2012-09-13 09:54:14,ORG_INVITE,0,0,63,7027.0,0,2012,9,37,13,1
149,150,2014-05-30 20:30:10,SIGNUP,0,0,10,0.0,0,2014,5,22,30,0
150,151,2013-04-12 11:45:27,SIGNUP,0,0,11,0.0,0,2013,4,15,12,0
151,152,2013-10-15 09:40:49,GUEST_INVITE,1,1,234,7393.0,0,2013,10,42,15,1
152,153,2013-04-28 00:00:14,SIGNUP,0,0,64,0.0,1,2013,4,17,28,0
153,154,2014-05-13 12:30:24,ORG_INVITE,0,0,28,7110.0,0,2014,5,20,13,1
154,155,2013-04-21 13:12:13,GUEST_INVITE,0,0,410,1697.0,0,2013,4,16,21,1
155,156,2014-03-06 21:52:11,SIGNUP,1,0,170,0.0,0,2014,3,10,6,0
156,157,2014-02-15 15:44:37,ORG_INVITE,0,0,118,9434.0,0,2014,2,7,15,1
157,158,2013-12-26 21:55:04,SIGNUP,0,0,42,0.0,0,2013,12,52,26,0
158,159,2014-05-18 06:21:10,ORG_INVITE,0,0,374,10042.0,0,2014,5,20,18,1
159,160,2013-04-26 17:08:27,ORG_INVITE,1,1,15,8331.0,1,2013,4,17,26,1
160,161,2014-05-19 10:30:49,SIGNUP_GOOGLE_AUTH,1,0,17,0.0,0,2014,5,21,19,0
161,162,2014-02-19 22:15:16,GUEST_INVITE,0,0,15,8006.0,0,2014,2,8,19,1
162,163,2014-05-20 10:33:20,PERSONAL_PROJECTS,0,0,1,0.0,0,2014,5,21,20,0
163,164,2013-04-30 22:24:37,SIGNUP,0,1,364,0.0,0,2013,4,18,30,0
164,165,2012-12-28 09:13:24,SIGNUP_GOOGLE_AUTH,0,0,62,0.0,1,2012,12,52,28,0
165,166,2014-03-17 03:50:03,PERSONAL_PROJECTS,1,0,244,0.0,0,2014,3,12,17,0
166,167,2014-02-22 15:00:07,PERSONAL_PROJECTS,1,0,342,0.0,0,2014,2,8,22,0
167,168,2012-12-15 03:16:09,ORG_INVITE,0,0,225,7104.0,1,2012,12,50,15,1
168,169,2013-04-09 10:42:00,ORG_INVITE,0,0,88,3298.0,0,2013,4,15,9,1
169,170,2014-01-06 09:37:49,ORG_INVITE,1,1,134,11484.0,0,2014,1,2,6,1
170,171,2014-04-19 08:58:40,SIGNUP,0,0,121,0.0,0,2014,4,16,19,0
171,172,2013-06-16 04:53:17,ORG_INVITE,0,0,255,1846.0,1,2013,6,24,16,1
172,173,2013-10-24 19:58:06,PERSONAL_PROJECTS,1,0,7,0.0,0,2013,10,43,24,0
173,174,2013-06-17 05:03:06,GUEST_INVITE,0,0,411,3345.0,1,2013,6,25,17,1
174,175,2012-08-14 07:22:35,PERSONAL_PROJECTS,0,0,217,0.0,0,2012,8,33,14,0
175,176,2013-04-08 02:51:24,SIGNUP_GOOGLE_AUTH,0,0,109,0.0,0,2013,4,15,8,0
176,177,2012-11-03 22:31:03,PERSONAL_PROJECTS,0,0,165,0.0,0,2012,11,44,3,0
177,178,2012-06-08 14:44:58,ORG_INVITE,0,0,415,178.0,0,2012,6,23,8,1
178,179,2013-04-14 20:47:44,ORG_INVITE,0,0,11,7701.0,0,2013,4,15,14,1
179,180,2014-01-11 15:46:10,SIGNUP,0,0,104,0.0,0,2014,1,2,11,0
180,181,2012-10-02 13:54:51,SIGNUP,0,0,329,0.0,0,2012,10,40,2,0
181,182,2013-11-19 02:59:36,ORG_INVITE,0,0,139,8529.0,0,2013,11,47,19,1
182,183,2014-05-08 19:24:00,PERSONAL_PROJECTS,0,0,278,0.0,0,2014,5,19,8,0
183,184,2014-01-28 17:24:34,SIGNUP,0,0,30,0.0,0,2014,1,5,28,0
184,185,2014-01-25 06:38:57,GUEST_INVITE,0,0,116,2962.0,1,2014,1,4,25,1
185,186,2014-03-26 02:01:52,ORG_INVITE,1,1,151,11304.0,0,2014,3,13,26,1
186,187,2014-05-28 19:49:40,ORG_INVITE,0,0,290,4926.0,0,2014,5,22,28,1
187,188,2014-03-18 21:34:09,ORG_INVITE,0,0,30,3833.0,1,2014,3,12,18,1
188,189,2013-08-13 16:02:49,PERSONAL_PROJECTS,0,1,252,0.0,0,2013,8,33,13,0
189,190,2012-07-02 00:48:13,GUEST_INVITE,0,0,200,4430.0,0,2012,7,27,2,1
190,191,2013-07-31 10:23:21,GUEST_INVITE,0,0,0,3890.0,0,2013,7,31,31,1
191,192,2013-10-23 12:47:58,SIGNUP,0,0,187,0.0,0,2013,10,43,23,0
192,193,2012-10-30 04:15:49,ORG_INVITE,1,0,122,193.0,0,2012,10,44,30,1
193,194,2013-10-12 23:07:33,GUEST_INVITE,0,0,353,3192.0,0,2013,10,41,12,1
194,195,2013-10-03 11:44:49,ORG_INVITE,0,0,135,2359.0,0,2013,10,40,3,1
195,196,2014-02-16 11:48:46,GUEST_INVITE,0,0,3,10370.0,0,2014,2,7,16,1
196,197,2012-07-04 00:26:31,GUEST_INVITE,1,0,135,9608.0,1,2012,7,27,4,1
197,198,2013-05-11 09:00:36,ORG_INVITE,0,1,328,646.0,0,2013,5,19,11,1
198,199,2013-09-21 08:30:50,GUEST_INVITE,0,0,64,9286.0,0,2013,9,38,21,1
199,200,2013-02-23 12:41:33,ORG_INVITE,1,1,107,11734.0,1,2013,2,8,23,1
200,201,2013-12-07 01:40:41,ORG_INVITE,1,1,263,6087.0,0,2013,12,49,7,1
201,202,2013-11-10 05:10:24,GUEST_INVITE,1,0,5,3246.0,1,2013,11,45,10,1
202,203,2013-06-10 11:16:04,GUEST_INVITE,1,0,263,3096.0,1,2013,6,24,10,1
203,204,2013-03-24 08:03:02,SIGNUP,0,0,36,0.0,0,2013,3,12,24,0
204,205,2012-08-30 06:46:12,PERSONAL_PROJECTS,0,0,0,0.0,0,2012,8,35,30,0
205,206,2013-12-03 19:20:53,PERSONAL_PROJECTS,0,1,13,0.0,0,2013,12,49,3,0
206,207,2012-10-26 15:46:28,PERSONAL_PROJECTS,0,0,341,0.0,0,2012,10,43,26,0
207,208,2013-07-29 12:39:04,SIGNUP,0,0,349,0.0,0,2013,7,31,29,0
208,209,2013-08-02 22:55:31,PERSONAL_PROJECTS,0,0,184,0.0,1,2013,8,31,2,0
209,210,2014-04-29 17:50:33,GUEST_INVITE,0,0,353,3192.0,0,2014,4,18,29,1
210,211,2013-10-15 14:33:01,ORG_INVITE,1,0,1,5107.0,0,2013,10,42,15,1
211,212,2013-03-24 18:05:10,ORG_INVITE,0,0,342,3233.0,0,2013,3,12,24,1
212,213,2014-03-13 05:17:13,ORG_INVITE,1,0,64,9286.0,0,2014,3,11,13,1
213,214,2013-01-15 04:33:07,GUEST_INVITE,0,0,304,6447.0,1,2013,1,3,15,1
214,215,2014-05-04 06:32:25,SIGNUP,0,0,25,0.0,0,2014,5,18,4,0
215,216,2013-12-14 13:45:58,SIGNUP,0,0,15,0.0,0,2013,12,50,14,0
216,217,2014-04-04 01:32:44,SIGNUP_GOOGLE_AUTH,1,0,198,0.0,0,2014,4,14,4,0
217,218,2014-04-22 21:36:35,GUEST_INVITE,0,1,153,10104.0,0,2014,4,17,22,1
218,219,2014-05-30 11:32:35,ORG_INVITE,1,0,303,2244.0,0,2014,5,22,30,1
219,220,2012-07-23 21:07:40,SIGNUP_GOOGLE_AUTH,0,1,68,0.0,0,2012,7,30,23,0
220,221,2014-05-16 21:56:06,SIGNUP_GOOGLE_AUTH,0,0,108,0.0,0,2014,5,20,16,0
221,222,2014-04-24 21:47:29,SIGNUP,1,1,77,0.0,0,2014,4,17,24,0
222,223,2014-05-13 21:09:06,ORG_INVITE,0,0,142,1149.0,0,2014,5,20,13,1
223,224,2014-04-20 18:05:11,SIGNUP,0,0,5,0.0,0,2014,4,16,20,0
224,225,2013-10-25 12:16:14,PERSONAL_PROJECTS,0,0,254,0.0,0,2013,10,43,25,0
225,226,2013-10-07 23:22:18,SIGNUP_GOOGLE_AUTH,0,0,81,0.0,0,2013,10,41,7,0
226,227,2013-07-16 01:46:58,ORG_INVITE,1,0,275,5748.0,0,2013,7,29,16,1
227,228,2013-07-13 00:34:23,ORG_INVITE,1,1,7,5650.0,0,2013,7,28,13,1
228,229,2012-09-01 02:25:43,ORG_INVITE,1,0,242,229.0,0,2012,9,35,1,1
229,230,2013-03-20 22:47:50,ORG_INVITE,0,0,278,1585.0,1,2013,3,12,20,1
230,231,2012-11-08 17:17:49,PERSONAL_PROJECTS,0,0,176,0.0,0,2012,11,45,8,0
231,232,2013-10-16 17:43:35,ORG_INVITE,0,0,2,9371.0,0,2013,10,42,16,1
232,233,2013-08-06 15:03:13,ORG_INVITE,0,0,87,10308.0,0,2013,8,32,6,1
233,234,2014-05-30 15:44:36,SIGNUP_GOOGLE_AUTH,0,0,191,0.0,0,2014,5,22,30,0
234,235,2013-11-23 23:37:26,PERSONAL_PROJECTS,0,0,7,0.0,0,2013,11,47,23,0
235,236,2013-05-27 19:48:24,GUEST_INVITE,0,0,7,3452.0,0,2013,5,22,27,1
236,237,2014-05-10 21:00:03,SIGNUP,1,1,8,0.0,0,2014,5,19,10,0
237,238,2012-11-17 14:19:28,PERSONAL_PROJECTS,0,0,49,0.0,0,2012,11,46,17,0
238,239,2013-11-04 18:32:14,SIGNUP,0,0,36,0.0,0,2013,11,45,4,0
239,240,2014-03-01 21:59:23,ORG_INVITE,0,0,102,2700.0,0,2014,3,9,1,1
240,241,2012-10-16 13:43:34,PERSONAL_PROJECTS,0,0,245,0.0,0,2012,10,42,16,0
241,242,2013-07-20 12:05:42,ORG_INVITE,1,0,56,3653.0,0,2013,7,29,20,1
242,243,2013-06-09 20:13:52,SIGNUP,1,0,7,0.0,0,2013,6,23,9,0
243,244,2013-03-15 03:08:28,ORG_INVITE,0,0,154,7202.0,0,2013,3,11,15,1
244,245,2013-06-02 10:29:08,ORG_INVITE,0,0,218,9841.0,1,2013,6,22,2,1
245,246,2014-03-23 05:36:24,SIGNUP_GOOGLE_AUTH,0,0,385,0.0,0,2014,3,12,23,0
246,247,2013-09-13 15:47:48,ORG_INVITE,0,0,76,4400.0,1,2013,9,37,13,1
247,248,2013-06-17 16:24:15,GUEST_INVITE,0,0,9,4551.0,0,2013,6,25,17,1
248,249,2014-03-20 19:35:33,GUEST_INVITE,0,0,321,6445.0,0,2014,3,12,20,1
249,250,2013-08-15 22:46:52,SIGNUP,1,1,159,0.0,0,2013,8,33,15,0
250,251,2014-02-15 05:26:42,ORG_INVITE,0,0,371,10816.0,0,2014,2,7,15,1
251,252,2013-09-22 23:54:58,ORG_INVITE,0,0,50,11361.0,0,2013,9,38,22,1
252,253,2014-02-14 01:07:14,ORG_INVITE,0,1,75,2013.0,0,2014,2,7,14,1
253,254,2014-03-04 19:52:58,PERSONAL_PROJECTS,1,0,11,0.0,0,2014,3,10,4,0
254,255,2013-07-13 01:16:03,ORG_INVITE,0,0,333,6706.0,0,2013,7,28,13,1
255,256,2012-08-02 20:35:55,SIGNUP,1,0,137,0.0,0,2012,8,31,2,0
256,257,2013-07-17 23:44:33,SIGNUP,0,0,191,0.0,0,2013,7,29,17,0
257,258,2014-05-05 12:12:27,ORG_INVITE,1,1,278,2557.0,0,2014,5,19,5,1
258,259,2013-12-05 21:22:27,ORG_INVITE,1,0,1,436.0,0,2013,12,49,5,1
259,260,2013-01-13 06:12:00,PERSONAL_PROJECTS,0,1,292,0.0,0,2013,1,2,13,0
260,261,2013-12-15 02:18:54,SIGNUP_GOOGLE_AUTH,1,0,75,0.0,0,2013,12,50,15,0
261,262,2013-09-22 10:55:17,SIGNUP,1,0,70,0.0,0,2013,9,38,22,0
262,263,2013-04-17 05:30:21,ORG_INVITE,0,0,89,1660.0,1,2013,4,16,17,1
263,264,2012-06-13 02:38:17,GUEST_INVITE,0,0,286,431.0,0,2012,6,24,13,1
264,265,2013-10-20 20:02:15,GUEST_INVITE,0,0,131,7227.0,1,2013,10,42,20,1
265,266,2013-08-18 16:45:55,SIGNUP_GOOGLE_AUTH,0,0,178,0.0,0,2013,8,33,18,0
266,267,2014-05-08 13:55:36,ORG_INVITE,0,0,213,7756.0,0,2014,5,19,8,1
267,268,2014-02-22 13:50:52,SIGNUP,0,0,32,0.0,0,2014,2,8,22,0
268,269,2013-12-28 23:09:44,PERSONAL_PROJECTS,0,0,376,0.0,0,2013,12,52,28,0
269,270,2012-08-18 09:44:55,PERSONAL_PROJECTS,0,0,28,0.0,0,2012,8,33,18,0
270,271,2013-06-13 01:30:48,ORG_INVITE,0,0,1,2546.0,0,2013,6,24,13,1
